DM;dm
DM;dem
DM;deutsche mark
DM;deutscher mark
DM;deutschmark
DM;d-mark
USD;usd
USD;us dollar
USD;us-dollar
USD;dollar
USD;dollar usa
USD;dollar american
USD;dollar americano
USD;$
USD;u.s. dollar
USD;dlr
EUR;eur
EUR;€
FRF;chr
FRF;fr
FRF;francs
FRF;francs francais
FRF;francs français
FRF;francs français
FRF;₣
CHF;french franc
CHF;ffr
GBP;gbp
GBP;pound
GBP;pound sterling
GBP;livre sterling
GBP;libra esterlina
GBP;libra esterlina
GBP;£
CAD;cad
CAD;canadian dollar
CAD;dollar canadien
CAD;dollar canadiense
CAD;dollar canadian
CAD;can
JPY;jpy
JPY;yen
JPY;yen japonais
JPY;yen japonés
JPY;¥
